Version,Power (hp),Consumption (l/100 km),Interior,Location,Registration city,Number of doors,Assembly,Source,Model,Body Type,Car documents,Title,Number of seats,Number of Owners,Price,URL,Color,Air Conditioning,Make
,,,,"Valencia Town, Lahore",Lahore,,Imported,,Bolan,Van / Bus,Original,Sazuki Bolan 2013,,,"Rs 1,250,000",https://www.olx.com.pk/item/sazuki-bolan-2013-iid-1084389750,White,,Suzuki
,,,,"Valencia Town, Lahore",Lahore,,Imported,,Bolan,Van / Bus,Original,Sazuki Bolan 2013,,,"Rs 1,250,000",https://www.olx.com.pk/item/sazuki-bolan-2013-iid-1084389750,White,,Suzuki
,,,,"Valencia Town, Lahore",Lahore,,Local,,Civic VTi Oriel Prosmatec,Sedan,Original,Honda Civic VTi Oriel Prosmatec 2009,,,"Rs 2,495,000",https://www.olx.com.pk/item/honda-civic-vti-oriel-prosmatec-2009-iid-1095226273,Gold,,Honda
,,,,"Valencia Town, Lahore",Lahore,,Local,,Civic VTi Oriel Prosmatec,Sedan,Original,Honda Civic VTi Oriel Prosmatec 2009,,,"Rs 2,495,000",https://www.olx.com.pk/item/honda-civic-vti-oriel-prosmatec-2009-iid-1095226273,Gold,,Honda
NEW,,,,"Al Rehman Garden Phase 2, Lahore",Islamabad,,Local,,Oshan X7,SUV,Original,Changan Oshan X7  2022,4,1,"Rs 7,700,000",https://www.olx.com.pk/item/changan-oshan-x7-2022-iid-1094891023,White,,Changan
NEW,,,,"Al Rehman Garden Phase 2, Lahore",Islamabad,,Local,,Oshan X7,SUV,Original,Changan Oshan X7  2022,4,1,"Rs 7,700,000",https://www.olx.com.pk/item/changan-oshan-x7-2022-iid-1094891023,White,,Changan
,,,,"Al Rehman Garden Phase 2, Lahore",Lahore,,Local,,Wagon R,Small city car,Original,Suzuki Wagon VXR 2021/21 03001266259,4,1,"Rs 2,350,000",https://www.olx.com.pk/item/suzuki-wagon-vxr-202121-03001266259-iid-1095305931,Silver,,Suzuki
,,,,"Al Rehman Garden Phase 2, Lahore",Lahore,,Local,,Wagon R,Small city car,Original,Suzuki Wagon VXR 2021/21 03001266259,4,1,"Rs 2,350,000",https://www.olx.com.pk/item/suzuki-wagon-vxr-202121-03001266259-iid-1095305931,Silver,,Suzuki
,,,,"Al Rehman Garden Phase 2, Lahore",Lahore,,Local,,Cultus VXL,Other,Original,Suzuki Cultus VXL 2021,,1,"Rs 3,000,000",https://www.olx.com.pk/item/suzuki-cultus-vxl-2021-iid-1095429105,Silver,,Suzuki
,,,,"Al Rehman Garden Phase 2, Lahore",Lahore,,Local,,Cultus VXL,Other,Original,Suzuki Cultus VXL 2021,,1,"Rs 3,000,000",https://www.olx.com.pk/item/suzuki-cultus-vxl-2021-iid-1095429105,Silver,,Suzuki
VXL,,,,"Al Rehman Garden Phase 2, Lahore",Punjab,,Local,,Wagon R,Other,Original,Suzuki Wagon R 2019,5,1,"Rs 2,450,000",https://www.olx.com.pk/item/suzuki-wagon-r-2019-iid-1095426867,Beige,,Suzuki
VXL,,,,"Al Rehman Garden Phase 2, Lahore",Punjab,,Local,,Wagon R,Other,Original,Suzuki Wagon R 2019,5,1,"Rs 2,450,000",https://www.olx.com.pk/item/suzuki-wagon-r-2019-iid-1095426867,Beige,,Suzuki
Corolla,,,,"Al Rehman Garden Phase 2, Lahore",Lahore,,Imported,,Corolla XE,Sedan,Original,Toyota Corolla 1988,4,4,"Rs 890,000",https://www.olx.com.pk/item/toyota-corolla-1988-iid-1095424968,White,,Toyota
Corolla,,,,"Al Rehman Garden Phase 2, Lahore",Lahore,,Imported,,Corolla XE,Sedan,Original,Toyota Corolla 1988,4,4,"Rs 890,000",https://www.olx.com.pk/item/toyota-corolla-1988-iid-1095424968,White,,Toyota
boss,,,,"Al Rehman Garden Phase 2, Lahore",Lahore,,Local,,Mehran VXR,Small city car,Original,Suzuki Mehran VXR 1990,4,,"Rs 370,000",https://www.olx.com.pk/item/suzuki-mehran-vxr-1990-iid-1095397967,White,,Suzuki
boss,,,,"Al Rehman Garden Phase 2, Lahore",Lahore,,Local,,Mehran VXR,Small city car,Original,Suzuki Mehran VXR 1990,4,,"Rs 370,000",https://www.olx.com.pk/item/suzuki-mehran-vxr-1990-iid-1095397967,White,,Suzuki
2005,,,,"Al Rehman Garden Phase 2, Lahore",Islamabad,,Imported,,Optra,Sedan,Original,Chevrolet Optra exchange possible,5,3,"Rs 1,645,000",https://www.olx.com.pk/item/chevrolet-optra-exchange-possible-iid-1094546131,Blue,,Chevrolet
2005,,,,"Al Rehman Garden Phase 2, Lahore",Islamabad,,Imported,,Optra,Sedan,Original,Chevrolet Optra exchange possible,5,3,"Rs 1,645,000",https://www.olx.com.pk/item/chevrolet-optra-exchange-possible-iid-1094546131,Blue,,Chevrolet
vxl,,,,"Al Rehman Garden Phase 2, Lahore",Lahore,,Local,,Alto,Other,Original,Suzuki Alto 2023,4,,"Rs 2,650,000",https://www.olx.com.pk/item/suzuki-alto-2023-iid-1095383264,White,,Suzuki
vxl,,,,"Al Rehman Garden Phase 2, Lahore",Lahore,,Local,,Alto,Other,Original,Suzuki Alto 2023,4,,"Rs 2,650,000",https://www.olx.com.pk/item/suzuki-alto-2023-iid-1095383264,White,,Suzuki
club,,,,"Al Rehman Garden Phase 2, Lahore",Lahore,,Imported,,Santro,Hatchback,Original,Hyundai Santro 2004,,3,"Rs 980,000",https://www.olx.com.pk/item/hyundai-santro-2004-iid-1095373893,Silver,,Hyundai
club,,,,"Al Rehman Garden Phase 2, Lahore",Lahore,,Imported,,Santro,Hatchback,Original,Hyundai Santro 2004,,3,"Rs 980,000",https://www.olx.com.pk/item/hyundai-santro-2004-iid-1095373893,Silver,,Hyundai
Automatic,,,,"Al Rehman Garden Phase 2, Lahore",Sialkot,,Local,,Lancer,Other,Original,Mitsubishi Lancer 2004,5,3,"Rs 1,440,000",https://www.olx.com.pk/item/mitsubishi-lancer-2004-iid-1095369367,Black,,Mitsubishi
Automatic,,,,"Al Rehman Garden Phase 2, Lahore",Sialkot,,Local,,Lancer,Other,Original,Mitsubishi Lancer 2004,5,3,"Rs 1,440,000",https://www.olx.com.pk/item/mitsubishi-lancer-2004-iid-1095369367,Black,,Mitsubishi
,,,,"Al Rehman Garden Phase 2, Lahore",Karachi,,Imported,,Civic EXi,Sports / Coupe,Original,Honda Civic EXi 1995,5,1,"Rs 775,000",https://www.olx.com.pk/item/honda-civic-exi-1995-iid-1092957410,Green,,Honda
,,,,"Al Rehman Garden Phase 2, Lahore",Karachi,,Imported,,Civic EXi,Sports / Coupe,Original,Honda Civic EXi 1995,5,1,"Rs 775,000",https://www.olx.com.pk/item/honda-civic-exi-1995-iid-1092957410,Green,,Honda
VXR,,,,"Al Rehman Garden Phase 2, Lahore",Lahore,,Local,,Alto,Hatchback,Original,Suzuki Alto 2022,4,1,"Rs 2,580,000",https://www.olx.com.pk/item/suzuki-alto-2022-iid-1095354260,White,,Suzuki
VXR,,,,"Al Rehman Garden Phase 2, Lahore",Lahore,,Local,,Alto,Hatchback,Original,Suzuki Alto 2022,4,1,"Rs 2,580,000",https://www.olx.com.pk/item/suzuki-alto-2022-iid-1095354260,White,,Suzuki
VXR,,,,"Al Rehman Garden Phase 2, Lahore",Lahore,,Local,,Alto,Hatchback,Original,Suzuki Alto 2019,5,1,"Rs 2,350,000",https://www.olx.com.pk/item/suzuki-alto-2019-iid-1095342929,Silver,,Suzuki
VXR,,,,"Al Rehman Garden Phase 2, Lahore",Lahore,,Local,,Alto,Hatchback,Original,Suzuki Alto 2019,5,1,"Rs 2,350,000",https://www.olx.com.pk/item/suzuki-alto-2019-iid-1095342929,Silver,,Suzuki
,,,,"Al Rehman Garden Phase 2, Lahore",Lahore,,Imported,,Civic EXi,Sedan,Original,Honda Civic EXi 1987,5,,"Rs 500,000",https://www.olx.com.pk/item/honda-civic-exi-1987-iid-1095323453,White,,Honda
,,,,"Al Rehman Garden Phase 2, Lahore",Lahore,,Imported,,Civic EXi,Sedan,Original,Honda Civic EXi 1987,5,,"Rs 500,000",https://www.olx.com.pk/item/honda-civic-exi-1987-iid-1095323453,White,,Honda
,,,,"Al Rehman Garden Phase 2, Lahore",Lahore,,Local,,Wagon R,Hatchback,Original,Suzuki Wagon R 2018,5,,"Rs 2,000,000",https://www.olx.com.pk/item/suzuki-wagon-r-2018-iid-1095342153,Silver,,Suzuki
,,,,"Al Rehman Garden Phase 2, Lahore",Lahore,,Local,,Wagon R,Hatchback,Original,Suzuki Wagon R 2018,5,,"Rs 2,000,000",https://www.olx.com.pk/item/suzuki-wagon-r-2018-iid-1095342153,Silver,,Suzuki
serena,,,,"Al Rehman Garden Phase 2, Lahore",Punjab,,Imported,,Other,SUV,Original,serena highway star e power,7,1,"Rs 7,500,000",https://www.olx.com.pk/item/serena-highway-star-e-power-iid-1095342083,White,,Nissan
serena,,,,"Al Rehman Garden Phase 2, Lahore",Punjab,,Imported,,Other,SUV,Original,serena highway star e power,7,1,"Rs 7,500,000",https://www.olx.com.pk/item/serena-highway-star-e-power-iid-1095342083,White,,Nissan
civic turbo 1.5L,,,,"Al Rehman Garden Phase 2, Lahore",Lahore,,Local,,Civic RS,Sedan,Original,Honda Civic RS 2019,5,2,"Rs 5,900,000",https://www.olx.com.pk/item/honda-civic-rs-2019-iid-1093979555,Silver,,Honda
civic turbo 1.5L,,,,"Al Rehman Garden Phase 2, Lahore",Lahore,,Local,,Civic RS,Sedan,Original,Honda Civic RS 2019,5,2,"Rs 5,900,000",https://www.olx.com.pk/item/honda-civic-rs-2019-iid-1093979555,Silver,,Honda
euro 2,,,,"Al Rehman Garden Phase 2, Lahore",Lahore,,Local,,Mehran VXR,Small city car,Original,Suzuki Mehran VXR 2016,4,3,"Rs 1,100,000",https://www.olx.com.pk/item/suzuki-mehran-vxr-2016-iid-1095308382,White,,Suzuki
euro 2,,,,"Al Rehman Garden Phase 2, Lahore",Lahore,,Local,,Mehran VXR,Small city car,Original,Suzuki Mehran VXR 2016,4,3,"Rs 1,100,000",https://www.olx.com.pk/item/suzuki-mehran-vxr-2016-iid-1095308382,White,,Suzuki
VXR Euro II,,,,"Al Rehman Garden Phase 2, Lahore",Lahore,,Local,,Mehran VXR,Small city car,Original,Suzuki Mehran VXR 2018,5,5,"Rs 1,250,000",https://www.olx.com.pk/item/suzuki-mehran-vxr-2018-iid-1095308037,White,,Suzuki
VXR Euro II,,,,"Al Rehman Garden Phase 2, Lahore",Lahore,,Local,,Mehran VXR,Small city car,Original,Suzuki Mehran VXR 2018,5,5,"Rs 1,250,000",https://www.olx.com.pk/item/suzuki-mehran-vxr-2018-iid-1095308037,White,,Suzuki
1.3,,,,"Al Rehman Garden Phase 2, Lahore",Lahore,,Local,,Corolla GLI,Sedan,Original,Toyota Corolla GLI 2019,5,,"Rs 3,850,000",https://www.olx.com.pk/item/toyota-corolla-gli-2019-iid-1095284920,Black,,Toyota
1.3,,,,"Al Rehman Garden Phase 2, Lahore",Lahore,,Local,,Corolla GLI,Sedan,Original,Toyota Corolla GLI 2019,5,,"Rs 3,850,000",https://www.olx.com.pk/item/toyota-corolla-gli-2019-iid-1095284920,Black,,Toyota
1.37 manual,,,,"Al Rehman Garden Phase 2, Lahore",Lahore,,Local,,Alsvin,Sedan,Original,Changan Alsvin 2021,5,1,"Rs 3,050,000",https://www.olx.com.pk/item/changan-alsvin-2021-iid-1095270937,White,,Changan
1.37 manual,,,,"Al Rehman Garden Phase 2, Lahore",Lahore,,Local,,Alsvin,Sedan,Original,Changan Alsvin 2021,5,1,"Rs 3,050,000",https://www.olx.com.pk/item/changan-alsvin-2021-iid-1095270937,White,,Changan
,,,,"Al Rehman Garden Phase 2, Lahore",Islamabad,,Imported,,Vezel,SUV,Original,Honda Vezel 2017,,,"Rs 6,250,000",https://www.olx.com.pk/item/honda-vezel-2017-iid-1095267583,Black,,Honda
,,,,"Al Rehman Garden Phase 2, Lahore",Islamabad,,Imported,,Vezel,SUV,Original,Honda Vezel 2017,,,"Rs 6,250,000",https://www.olx.com.pk/item/honda-vezel-2017-iid-1095267583,Black,,Honda
Euro 2,,,,"Al Rehman Garden Phase 2, Lahore",Sindh,,Local,,Cultus VXR,Hatchback,Duplicate,Suzuki Cultus  2012 euro 2,5,,"Rs 1,100,000",https://www.olx.com.pk/item/suzuki-cultus-2012-euro-2-iid-1093861283,Grey,,Suzuki
Euro 2,,,,"Al Rehman Garden Phase 2, Lahore",Sindh,,Local,,Cultus VXR,Hatchback,Duplicate,Suzuki Cultus  2012 euro 2,5,,"Rs 1,100,000",https://www.olx.com.pk/item/suzuki-cultus-2012-euro-2-iid-1093861283,Grey,,Suzuki
santro,,,,"Al Rehman Garden Phase 3, Lahore",Lahore,,Imported,,Other,Other,Original,Hyundai Other 2005,4,1,"Rs 920,000",https://www.olx.com.pk/item/hyundai-other-2005-iid-1095194266,Silver,,Hyundai
santro,,,,"Al Rehman Garden Phase 3, Lahore",Lahore,,Imported,,Other,Other,Original,Hyundai Other 2005,4,1,"Rs 920,000",https://www.olx.com.pk/item/hyundai-other-2005-iid-1095194266,Silver,,Hyundai
Vigo V package 2006 Thailand model 2009 import,,,,"Al Rehman Garden Phase 3, Lahore",Karachi,,Imported,,Hilux,SUV,Original,Toyota Hilux 2009,7,3,"Rs 5,075,000",https://www.olx.com.pk/item/toyota-hilux-2009-iid-1093132879,Gold,,Toyota
Vigo V package 2006 Thailand model 2009 import,,,,"Al Rehman Garden Phase 3, Lahore",Karachi,,Imported,,Hilux,SUV,Original,Toyota Hilux 2009,7,3,"Rs 5,075,000",https://www.olx.com.pk/item/toyota-hilux-2009-iid-1093132879,Gold,,Toyota
vx,,,,"Al Rehman Garden Phase 3, Lahore",Lahore,,Local,,Mehran VX,Other,Original,Suzuki Mehran VX 2016,5,2,"Rs 1,050,000",https://www.olx.com.pk/item/suzuki-mehran-vx-2016-iid-1095018888,White,,Suzuki
vx,,,,"Al Rehman Garden Phase 3, Lahore",Lahore,,Local,,Mehran VX,Other,Original,Suzuki Mehran VX 2016,5,2,"Rs 1,050,000",https://www.olx.com.pk/item/suzuki-mehran-vx-2016-iid-1095018888,White,,Suzuki
1986,,,,"Al Rehman Garden Phase 3, Lahore",Karachi,,Local,,Corolla 2.0 D,Other,Original,Toyota Corolla 2.0 D 1986,5,2,"Rs 330,000",https://www.olx.com.pk/item/toyota-corolla-20-d-1986-iid-1094860401,White,,Toyota
1986,,,,"Al Rehman Garden Phase 3, Lahore",Karachi,,Local,,Corolla 2.0 D,Other,Original,Toyota Corolla 2.0 D 1986,5,2,"Rs 330,000",https://www.olx.com.pk/item/toyota-corolla-20-d-1986-iid-1094860401,White,,Toyota
EFi,,,,"Al Rehman Garden Phase 3, Lahore",Lahore,,Local,,Mehran VXR,Sedan,Original,Suzuki Mehran VXR 2014,4,2,"Rs 1,060,000",https://www.olx.com.pk/item/suzuki-mehran-vxr-2014-iid-1094505041,Silver,,Suzuki
EFi,,,,"Al Rehman Garden Phase 3, Lahore",Lahore,,Local,,Mehran VXR,Sedan,Original,Suzuki Mehran VXR 2014,4,2,"Rs 1,060,000",https://www.olx.com.pk/item/suzuki-mehran-vxr-2014-iid-1094505041,Silver,,Suzuki
LXI,106,14,Cloth,"Al Rehman Garden Phase 3, Lahore",Lahore,4/5,Imported,Company Source,Liana,Sedan,Original,Suzuki Liana 2006,4,,"Rs 1,100,000",https://www.olx.com.pk/item/suzuki-liana-2006-iid-1091614463,White,A/C manual,Suzuki
LXI,106,14,Cloth,"Al Rehman Garden Phase 3, Lahore",Lahore,4/5,Imported,Company Source,Liana,Sedan,Original,Suzuki Liana 2006,4,,"Rs 1,100,000",https://www.olx.com.pk/item/suzuki-liana-2006-iid-1091614463,White,A/C manual,Suzuki
2007,,,,"AL Raheem Garden Phase V, Lahore",Lahore,,Local,,City Vario,Sedan,Original,Honda City Vario 2007,5,,"Rs 1,960,000",https://www.olx.com.pk/item/honda-city-vario-2007-iid-1095433669,Silver,,Honda
2007,,,,"AL Raheem Garden Phase V, Lahore",Lahore,,Local,,City Vario,Sedan,Original,Honda City Vario 2007,5,,"Rs 1,960,000",https://www.olx.com.pk/item/honda-city-vario-2007-iid-1095433669,Silver,,Honda
manual,,,,"Al Hafeez Gardens, Lahore",Lahore,,Local,,Alto,Hatchback,Original,Suzuki Alto 2012,5,,"Rs 1,295,000",https://www.olx.com.pk/item/suzuki-alto-2012-iid-1095416272,Green,,Suzuki
manual,,,,"Al Hafeez Gardens, Lahore",Lahore,,Local,,Alto,Hatchback,Original,Suzuki Alto 2012,5,,"Rs 1,295,000",https://www.olx.com.pk/item/suzuki-alto-2012-iid-1095416272,Green,,Suzuki
RXI,,,,"AL Raheem Garden Phase V, Lahore",Lahore,,Local,,Liana,Sedan,Original,Suzuki Liana RXI,4,2,"Rs 1,150,000",https://www.olx.com.pk/item/suzuki-liana-rxi-iid-1095401890,Blue,,Suzuki
RXI,,,,"AL Raheem Garden Phase V, Lahore",Lahore,,Local,,Liana,Sedan,Original,Suzuki Liana RXI,4,2,"Rs 1,150,000",https://www.olx.com.pk/item/suzuki-liana-rxi-iid-1095401890,Blue,,Suzuki
exec 1.0 efi,,,,"Subhan Garden Phase 1, Lahore",Lahore,,Imported,,Santro,Other,Original,Hyundai Santro 2005,5,1,"Rs 1,300,000",https://www.olx.com.pk/item/hyundai-santro-2005-iid-1095365949,Grey,,Hyundai
exec 1.0 efi,,,,"Subhan Garden Phase 1, Lahore",Lahore,,Imported,,Santro,Other,Original,Hyundai Santro 2005,5,1,"Rs 1,300,000",https://www.olx.com.pk/item/hyundai-santro-2005-iid-1095365949,Grey,,Hyundai
1.6cc,,,,"AL Raheem Garden Phase V, Lahore",Multan,,Imported,,Liana,Sedan,Original,Suzuki Liana 2006 1.6cc,5,,"Rs 1,250,000",https://www.olx.com.pk/item/suzuki-liana-2006-16cc-iid-1095264718,Black,,Suzuki
1.6cc,,,,"AL Raheem Garden Phase V, Lahore",Multan,,Imported,,Liana,Sedan,Original,Suzuki Liana 2006 1.6cc,5,,"Rs 1,250,000",https://www.olx.com.pk/item/suzuki-liana-2006-16cc-iid-1095264718,Black,,Suzuki
VX,,,,"AL Raheem Garden Phase V, Lahore",Lahore,,Local,,Mehran VX,Small city car,Original,VX 2014 MEHRAN,5,,"Rs 910,000",https://www.olx.com.pk/item/vx-2014-mehran-iid-1095245081,Grey,,Suzuki
VX,,,,"AL Raheem Garden Phase V, Lahore",Lahore,,Local,,Mehran VX,Small city car,Original,VX 2014 MEHRAN,5,,"Rs 910,000",https://www.olx.com.pk/item/vx-2014-mehran-iid-1095245081,Grey,,Suzuki
,,,,"Al Hafeez Gardens, Lahore",Lahore,,Local,,City IVTEC,Sedan,Original,Total Genuine Honda city 2010,5,,"Rs 2,370,000",https://www.olx.com.pk/item/total-genuine-honda-city-2010-iid-1095238159,Grey,,Honda
,,,,"Al Hafeez Gardens, Lahore",Lahore,,Local,,City IVTEC,Sedan,Original,Total Genuine Honda city 2010,5,,"Rs 2,370,000",https://www.olx.com.pk/item/total-genuine-honda-city-2010-iid-1095238159,Grey,,Honda
vxr,,,,"Al Hafeez Gardens, Lahore",Lahore,,Local,,Mehran VXR,Hatchback,Original,Suzuki Mehran VXR 2007,4,3,"Rs 725,000",https://www.olx.com.pk/item/suzuki-mehran-vxr-2007-iid-1095225807,Silver,,Suzuki
vxr,,,,"Al Hafeez Gardens, Lahore",Lahore,,Local,,Mehran VXR,Hatchback,Original,Suzuki Mehran VXR 2007,4,3,"Rs 725,000",https://www.olx.com.pk/item/suzuki-mehran-vxr-2007-iid-1095225807,Silver,,Suzuki
,,,,"Al Hafeez Gardens, Lahore",Abbottabad,,Local,,Mehran VX,Small city car,Original,Suzuki Mehran VX 1990,4,4,"Rs 310,000",https://www.olx.com.pk/item/suzuki-mehran-vx-1990-iid-1095221227,Other,,Suzuki
,,,,"Al Hafeez Gardens, Lahore",Abbottabad,,Local,,Mehran VX,Small city car,Original,Suzuki Mehran VX 1990,4,4,"Rs 310,000",https://www.olx.com.pk/item/suzuki-mehran-vx-1990-iid-1095221227,Other,,Suzuki
,,,,"Al Kareem Garden, Lahore",Lahore,,Local,,Baleno,Sedan,Original,suzuki baleno 1.5 engine,5,3,"Rs 1,050,000",https://www.olx.com.pk/item/suzuki-baleno-sports-15-engin-iid-1076319499,Silver,,Suzuki
,,,,"Al Kareem Garden, Lahore",Lahore,,Local,,Baleno,Sedan,Original,suzuki baleno 1.5 engine,5,3,"Rs 1,050,000",https://www.olx.com.pk/item/suzuki-baleno-sports-15-engin-iid-1076319499,Silver,,Suzuki
,,,,"Al Hafeez Gardens, Lahore",Lahore,,Imported,,Wagon R Stingray,Hatchback,Original,Suzuki Wagon R japanese 2014,4,1,"Rs 2,220,000",https://www.olx.com.pk/item/suzuki-wagon-r-japanese-2014-iid-1093774779,Silver,,Suzuki
,,,,"Al Hafeez Gardens, Lahore",Lahore,,Imported,,Wagon R Stingray,Hatchback,Original,Suzuki Wagon R japanese 2014,4,1,"Rs 2,220,000",https://www.olx.com.pk/item/suzuki-wagon-r-japanese-2014-iid-1093774779,Silver,,Suzuki
Honda City IVTEC,,,,"AL Raheem Garden Phase V, Lahore",Lahore,,Local,,City IVTEC,Small city car,Original,Honda City IVTEC 2021,5,2,"Rs 4,040,000",https://www.olx.com.pk/item/honda-city-ivtec-2021-iid-1092651400,White,,Honda
Honda City IVTEC,,,,"AL Raheem Garden Phase V, Lahore",Lahore,,Local,,City IVTEC,Small city car,Original,Honda City IVTEC 2021,5,2,"Rs 4,040,000",https://www.olx.com.pk/item/honda-city-ivtec-2021-iid-1092651400,White,,Honda
Awd,,,,"New Bilal Ganj Industrial Scheme, Lahore",Lahore,,Imported,,Sportage,SUV,Original,KIA Sportage 2021 Awd,5,1,"Rs 6,950,000",https://www.olx.com.pk/item/kia-sportage-2021-awd-iid-1094209076,White,,KIA
Awd,,,,"New Bilal Ganj Industrial Scheme, Lahore",Lahore,,Imported,,Sportage,SUV,Original,KIA Sportage 2021 Awd,5,1,"Rs 6,950,000",https://www.olx.com.pk/item/kia-sportage-2021-awd-iid-1094209076,White,,KIA
03224187015,,,,"Gulshan-e-Yaseen Housing Society, Lahore",Sahiwal,,Local,,Other,Other,Original,coure,5,,"Rs 830,000",https://www.olx.com.pk/item/coure-iid-1095015119,White,,Other Brands
03224187015,,,,"Gulshan-e-Yaseen Housing Society, Lahore",Sahiwal,,Local,,Other,Other,Original,coure,5,,"Rs 830,000",https://www.olx.com.pk/item/coure-iid-1095015119,White,,Other Brands
2006,,,,"AL Raheem Garden Phase V, Lahore",Lahore,,Imported,,Cultus VXR,Other,Original,Suzuki Cultus VXR 2006,5,,"Rs 750,000",https://www.olx.com.pk/item/suzuki-cultus-vxr-2006-iid-1094991543,White,,Suzuki
2006,,,,"AL Raheem Garden Phase V, Lahore",Lahore,,Imported,,Cultus VXR,Other,Original,Suzuki Cultus VXR 2006,5,,"Rs 750,000",https://www.olx.com.pk/item/suzuki-cultus-vxr-2006-iid-1094991543,White,,Suzuki
,,,,"AL Raheem Garden Phase V, Lahore",Lahore,,Local,,City IDSI,Sedan,Original,Honda City IDSI 2004,5,,"Rs 1,835,000",https://www.olx.com.pk/item/honda-city-idsi-2004-iid-1094912359,Grey,,Honda
,,,,"AL Raheem Garden Phase V, Lahore",Lahore,,Local,,City IDSI,Sedan,Original,Honda City IDSI 2004,5,,"Rs 1,835,000",https://www.olx.com.pk/item/honda-city-idsi-2004-iid-1094912359,Grey,,Honda
,,,,"Al-Ghani Garden, Lahore",Sheikhüpura,,Local,,Santro,Other,Original,Hyundai Santro 2024,4,,"Rs 750,000",https://www.olx.com.pk/item/hyundai-santro-2024-iid-1094831249,Grey,,Hyundai
,,,,"Al-Ghani Garden, Lahore",Sheikhüpura,,Local,,Santro,Other,Original,Hyundai Santro 2024,4,,"Rs 750,000",https://www.olx.com.pk/item/hyundai-santro-2024-iid-1094831249,Grey,,Hyundai
1.8 I-VTEC Oriel,,,,"Al Rehman Garden Phase 1, Lahore",Punjab,,Local,,Civic Oriel,Other,Original,Honda Civic Oriel 2021,5,1,"Rs 6,500,000",https://www.olx.com.pk/item/honda-civic-oriel-2021-iid-1095417951,White,,Honda
1.8 I-VTEC Oriel,,,,"Al Rehman Garden Phase 1, Lahore",Punjab,,Local,,Civic Oriel,Other,Original,Honda Civic Oriel 2021,5,1,"Rs 6,500,000",https://www.olx.com.pk/item/honda-civic-oriel-2021-iid-1095417951,White,,Honda
honda city ivtec 2011,,,,"Al Rehman Garden Phase 1, Lahore",,,Local,,City IVTEC,Sedan,Original,Honda City IVTEC 2011,5,,"Rs 2,600,000",https://www.olx.com.pk/item/honda-city-ivtec-2011-iid-1094189002,Gold,,Honda
honda city ivtec 2011,,,,"Al Rehman Garden Phase 1, Lahore",,,Local,,City IVTEC,Sedan,Original,Honda City IVTEC 2011,5,,"Rs 2,600,000",https://www.olx.com.pk/item/honda-city-ivtec-2011-iid-1094189002,Gold,,Honda
vx,,,,"Al Rehman Garden Phase 1, Lahore",Punjab,,Local,,Alto,Hatchback,Original,Suzuki Alto 2021 ac,4,1,"Rs 2,150,000",https://www.olx.com.pk/item/91024--12---2121000--21-iid-1093825859,White,,Suzuki
vx,,,,"Al Rehman Garden Phase 1, Lahore",Punjab,,Local,,Alto,Hatchback,Original,Suzuki Alto 2021 ac,4,1,"Rs 2,150,000",https://www.olx.com.pk/item/91024--12---2121000--21-iid-1093825859,White,,Suzuki
Vigo,,,,"Al Rehman Garden Phase 1, Lahore",Lahore,,Local,,Hilux,SUV,Original,Toyota Hilux 2012 December invoice,5,3,"Rs 5,700,000",https://www.olx.com.pk/item/toyota-hilux-2012-december-invoice-iid-1094996480,Silver,,Toyota
Vigo,,,,"Al Rehman Garden Phase 1, Lahore",Lahore,,Local,,Hilux,SUV,Original,Toyota Hilux 2012 December invoice,5,3,"Rs 5,700,000",https://www.olx.com.pk/item/toyota-hilux-2012-december-invoice-iid-1094996480,Silver,,Toyota
,,,,"Al Rehman Garden Phase 1, Lahore",Lahore,,Imported,,Other,Other,Original,Hyundai Other 2004,5,3,"Rs 800,000",https://www.olx.com.pk/item/hyundai-other-2004-iid-1094289191,Black,,Hyundai
,,,,"Al Rehman Garden Phase 1, Lahore",Lahore,,Imported,,Other,Other,Original,Hyundai Other 2004,5,3,"Rs 800,000",https://www.olx.com.pk/item/hyundai-other-2004-iid-1094289191,Black,,Hyundai
,,,,"Al Rehman Garden, Lahore",Unregistered,,Imported,,Other,Hatchback,Original,Nissan Sakura X EV Electric 2023 Model,,,"Rs 5,450,000",https://www.olx.com.pk/item/nissan-sakura-x-ev-electric-2023-model-iid-1095063360,Silver,,Nissan
,,,,"Al Rehman Garden, Lahore",Unregistered,,Imported,,Other,Hatchback,Original,Nissan Sakura X EV Electric 2023 Model,,,"Rs 5,450,000",https://www.olx.com.pk/item/nissan-sakura-x-ev-electric-2023-model-iid-1095063360,Silver,,Nissan
0324 4560899,,,,"Al Rehman Garden, Lahore",,,Imported,,City IVTEC,Other,Original,Honda City IVTEC 2017,4,2,"Rs 3,390,000",https://www.olx.com.pk/item/honda-city-ivtec-2017-iid-1095393436,White,,Honda
0324 4560899,,,,"Al Rehman Garden, Lahore",,,Imported,,City IVTEC,Other,Original,Honda City IVTEC 2017,4,2,"Rs 3,390,000",https://www.olx.com.pk/item/honda-city-ivtec-2017-iid-1095393436,White,,Honda
4,,,,"Al Rehman Garden, Lahore",Lahore,,Local,,Starlet,Small city car,Original,Toyota Starlet 1991,5,2,"Rs 285,000",https://www.olx.com.pk/item/toyota-starlet-1991-iid-1095368387,Red,,Toyota
